,title,content
504,一季度 净利 同比 增长 23.58%,发布 季报 一季度 营收 322.96 同比 增长 18.43% 归属于 上市公司 股东 净利润 172.45 同比 增长 23.58% 每股 收益 13.73
505,股东 户数 增加 1.56% 户均 持股 1307.72,27 一季度 报告 披露 31 股东 户数 16.51 万户 上期 28 增加 2537 增幅 1.56% 股东 户数 高于 行业 平均水平 Choice 数据 31 食品饮料 行业 上市公司 平均 股东 户数 5.94 万户 股东 户数 处于 1.5 2.5 区间 24.14% 食品饮料 行业 股东 户数 分布 股东 户数 股价 30 股东 户数 增长 区间 涨幅 12.87% 30 日至 31 区间 股价 下降 16.42% 股东 户数 股价 股东 户数 股本 31 最新 股本 12.56 亿股 流通股 户均 持有 流通股 数量 上期 7726 下降 7607 户均 流通 市值 1307.72 户均 持股 金额 户均 持有 流通 市值 高于 行业 平均水平 Choice 数据 31 食品饮料 行业 上市公司 平均 户均 持有 流通股 市值 48.13 25.86% 户均 持有 流通股 市值 10.5 20 区间 食品饮料 行业 户均 流通 市值 分布 股通 持股 31 股通 持有 股份 数量 8205.94 万股 流通股 6.53% 上期 28 8698.76 万股 下降 5.67% 股通 持股 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
507,一季度 净利润 172 同比 增长 23.58%,26 日晚 公布 季报 一季度 营业 收入 322.96 同比 18.43% 净利润 172.45 同比 增长 23.58% 一季度 净利 同比 23.58% 26 晚间 发布 第一季度 报告 报告 期内 营业 收入 322.96 同比 增长 18.43% 归属于 上市公司 股东 净利润 172.45 同比 增长 23.58% 相当于 1.92 归属于 上市公司 股东 扣除非 经常性 损益 净利润 172.43 同比 增长 23.43% 报告 期内 每股 收益 13.73 同比 增长 23.58% 总资产 2513.02 同比 减少 1.52% 细分 产品 年初 报告 期末 收入 288.56 系列 酒为 34.28 销售 渠道 直销 108.87 批发 214 经纬 28 晚间 披露 第一季度 经营 情况 初步 核算 第一季度 预计 营业 总收入 331 同比 增长 18% 预计 归属于 上市公司 股东 净利润 166 同比 增长 19% 二级 市场 26 日收涨 1.43% 1732.48 年初 15.49% 现总 市值 21763 来源 经纬
508,组合 指数 发力 北向 资金 逆势 买入 197,今日 26 大盘 全天 冲高 回落 午后 跳水 三大 指数 再创 调整 新低 3900 下跌 上证指数 失守 2900 整数 关口 两市 8388 交易日 缩量 581 组合 指数 逆势 收阳 今日 组合 指数 两大 白马 龙头股 扎堆 板块 盘中 表现 抢眼 盘中 一度 上涨 3.5% 2.85% 最终 回落 逆势 收阳 分析 核心 资产 顶梁柱 逆势 走升 长线 资金 入场 布局 程度 佐证 底部 区域 信号 主力 布局 消费 五粮液 白马 龙头股 业绩 预告 亮眼 资金 青睐 原因 25 晚间 药明 康德 通威 股份 爱尔 眼科 行业龙头 纷纷 发布 季报 硅料 通威 股份 净利 同比 大增 CRO 药明 康德 净利 同比 增长 9.54% 眼茅 爱尔 眼科 净利 同比 增长 26% 东方 财富 Choice 数据 上证指数 跌幅 已超 11% 主力 资金 逆势 低吸 组合 指数 成份股 合计 买入 19 总净 买额 67 之间 主力 资金 买入 最多 龙二 五粮液 净买额 11 排名 第二 免税 龙头 中免 净买额 比亚迪 泸州 老窖 迈瑞 医疗 伊利 股份 爱尔 眼科 海尔 智家 爱美 客等 主力 净买额 7.9 3.1 之间 行业 分布 主力 资金 布局 泛大 消费类 既有 五粮液 泸州 老窖 龙头 爱美 华熙 生物 医疗 美容 海尔 智家 晨光 股份 科沃 斯等 家电 文具 龙头股 北向 逆势 增持 197 东方 财富 Choice 数据 区间 成交 均价 增持 数量 估算 北向 资金 逆势 低吸 组合 指数 成份股 合计 增持 25 总增持 金额 197 北向 资金 逆势 增持 42 排名 第二 宁德 时代 北向 逆势 增持 40 而恩捷 股份 长江 电力 美的 集团 东方 雨虹 斯达 半导 亿纬锂 智飞 生物 格力电器 福斯特 增持 金额 18 之间 行业 分布 主力 资金 相比 北向 资金 布局 锂电 芯片 光伏 景气 赛道 龙头股 机构 首席 转向 乐观 后市 多位 专家 定价 未来 预期 下行 空间 有限 中信 建投 证券 首席 策略 分析师 陈果 最新 研报 指出 2900 黄金 收益 机会 把握 低位 布局 先逢 布局 疫后 修复 增长 加码 成长 股行情 市场 回升 右侧 展开 未来 季度 内外 环境 改善 趋势 概率 事件 过程 反复 战略 悲观 转向 乐观 陈果 战术 上要 低位 布局 2900 黄金 优先 布局 疫后 修复 增长 加码 包括 食品饮料 社会 服务 地产 基建 市场 回升 右侧 外部 流动性 环境 进一步 改善 把握 成长 反击 机会 东北 证券 首席 经济学家 付鹏 最新 观点 点位 综合 因素 叠加 驱动 因素 去年 10 市场 分化 价值 估值 双杀 短期内 恐慌性 踩踏 连锁反应 最差 情况 因子 组合 连锁反应 后边 因子 稍微 好转 一点 市场 起稳 华夏 内在 风险 释放 悲观 预期 很大 程度 股价 得以 体现 多重 因素 压制 指数 短期 难以 反转 不宜 过度 悲观 市场 政策底 过渡 市场 确认 时间
509,大宗 交易 成交 381.15,26 大宗 交易平台 一笔 成交 成交量 0.22 万股 成交 金额 381.15 大宗 交易 成交价 1732.48 该笔 交易 买方 营业部 中信 建投 证券 股份 有限公司 上海浦东新区 山路 证券 营业部 卖方 营业部 中信证券 股份 有限公司 上海 分公司 进一步 统计 累计 发生 70 大宗 交易 合计 成交 金额 10.07 证券时报 数据 统计 今日 收盘价 1732.48 上涨 1.43% 换手率 0.35% 76.93 全天 主力 资金 流出 3.17 日该 累计 下跌 3.23% 资金 合计 流出 13.66 两融 数据 该股 最新 融资 余额 202.26 减少 2.61 降幅 1.27% 北向 资金 动态 股通 最新 持有 该股 8369.71 万股 增加 78.67 万股 增幅 0.95% 数据 26 大宗 交易 一览
510,逆市 抄底 外资 狂扫 茅宁 股获 增持,今日 25 午后 市场 又现 跳水 跌破 2900 北向 资金 全天 净流入 15.43 数据 四月 外资 累计 流出 16.68 25 行业 外资 增持 电力设备 房地产 公用事业 板块 宁德 时代 外资 增持 居前 统计 25 15 行业 本月 外资 增持 行业 获超 10 增持 依次 电力设备 113.73 房地产 25.14 公用事业 16.41 有色金属 12.62 煤炭 11.71 建筑 装饰 11.29 行业 获超 10 外资 抛售 抛售 行业 依次 医药 生物 33.93 汽车 27.52 钢铁 21.46 减持 金额 20 四月 外资 增持 10 依次 26.36 宁德 时代 26.29 迈为 股份 15.28 建筑 14.20 东方 财富 12.84 长江 电力 12.53 恩捷 股份 12.43 万泰 生物 10.20 工商银行 10.13 外资 减持 10 依次 61.08 恒瑞医药 19.37 五粮液 19.22 隆基 股份 10.87 业绩 外资 增持 20 绿地 控股 19 年报 净利润 增长 业绩 翻倍 北方 稀土 天赐 材料 华鲁 恒升 净利润 增长 位居 依次 462.32% 314.42% 303.37% 季报 披露 一季度 业绩 报告 天赐 材料 万泰 生物 恩捷 股份 业绩 翻倍 数据 一季度 归母 净利润 同比 增长 依次 422.19% 360.18% 111.92% 后市 财通 证券 展望未来 季度 市场 越来越 珍惜 底部 区域 便宜 时光 有望 迎接 诺曼底 登陆 无限风光 险峰 反攻 时刻 建议 迎接 消费 买点 步入 性价比 赔率 胜率 舒适 关注 消费 三个 层次 地产 周期 家居 家电 消费 建材 服务 消费 社服 航空 机场 医疗 服务 传媒 游戏 传统 消费品 大众 消费品
511,大宗 交易 成交 381.15 成交价 1732.48,26 发生 大宗 交易 总成交 2200 成交 金额 381.15 成交价 1732.48 当日 收盘 报价 1732.48 涨幅 1.43% 成交 金额 76.93 大宗 交易 成交 金额 当日 成交 金额 0.05% 成交价 收盘价 持平 大宗 交易 明细 26 东方 雨虹 科大 翰宇 药业 益丰 药房 大洋 电机 发生 大宗 交易 具体情况 两市 大宗 交易 一览 04 26 当日 成交 金额 竞价 交易 成交 金额 包括 大宗 交易 成交 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
512,北向 资金 今日 净流入 15.43 大幅 买入 4.11,26 北向 资金 当日 成交 净买额 15.43 股通 当日 成交 净买额 2.78 深股通 当日 成交 净买额 18.21 交易所 公布 深港 十大 成交 今日 北上 资金 大幅 买入 4.11 买入 五粮液 3.61 买入 比亚迪 2.55 大幅 卖出 6.65
513,北向 资金 今日 买入 15.43 抢筹 五粮液,北向 资金 今日 买入 15.43 五粮液 东方 财富 获净 买入 4.11 3.61 3.01 卖出 居首 金额 6.65
514,融资 余额 202.26 创近 一年 新低 04 25,融资 融券 信息 25 融资 偿还 7064.66 融资 余额 202.26 创近 一年 新低 较前 一日 下降 0.35% 融资 当日 融资 买入 8.59 融资 偿还 9.3 融资 偿还 7064.66 融券 融券 卖出 1.81 万股 融券 偿还 1.28 万股 融券 余量 32.74 万股 融券 余额 5.59 融资 融券 余额 合计 207.86 融资 融券 交易 明细 04 25 历史 融资 融券 数据 一览 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
515,04 25 股通 减持 15.79 万股,04 25 股通 减持 15.79 万股 最新 持股 8369.71 万股 股本 6.66% 五日 持股 数据 持股 股价 变动 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
516,一季度 重仓股 曝光 宁德 时代 团宠,市场 低迷 背景 一季度 公募 权益 资产 市值 整体 缩水 九成 权益 一季度 收益 告负 产品 持仓 调整 龙头 热门 赛道 持股 集中度 下降 宁德 时代 重仓股 一季度 九成 权益 收益 季报 披露 日前 落下 帷幕 市场 低迷 背景 一季度 公募 权益 资产 市值 整体 缩水 九成 权益 一季度 收益 告负 产品 持仓 调整 龙头 热门 赛道 持股 集中度 下降 金融 医药 增长 行业 仓位 有所增加 数据 一季度 持有 宁德 时代 数为 1924 位列 首位 持有 宁德 时代 总量 2.86 亿股 持股 市值 1470 一季度 持有 数则 1796 位列 第二 持有 总量 9378.52 万股 持股 市值 1629 持有 隆基 股份 药明 康德 东方 财富 数量 700 值得注意 明星 旗下 产品 持仓 调整 管理 持仓 平安 银行 退出 十大 持仓 美团 十大 小幅 减持 洋河 股份 加仓 五粮液 泸州 老窖 葛兰 管理 中欧 医疗 健康 持仓 九洲 药业 退出 十大 智飞 生物 进前 十大 旗下 中欧 医疗 创新 十大 重仓股 九洲 药业 持股数 并未 变化 葛兰 一季度 加仓 药明 康德 爱尔 眼科 通策 医疗 泰格 医药 多只 谢治宇 管理 全合润 持仓 万华 化学 海康 威视 退出 十大 三七 互娱 梅花 生物 进前 十大 广发基金 刘格 一季度 配置 方向 光伏 动力电池 化工 材料 芯片 制造业 宁德 时代 团宠 重仓股 持仓 市值 600519 宁德 时代 300750 药明 康德 603259 隆基 股份 601012 600036 持仓 市值 居前 相较 一季度 持仓 股数 增加 流通股 比例 呈现 增长 一季度 重仓 合计 持有 9379 万股 一季度 增加 574 万股 明星 李晓星 管理 银华心 银华心 冯波 管理 竞争 优势 一季度 增持 程度 市场 整体 调整 赛道 调整 幅度 情况 龙头股 青睐 重仓 持有 智飞 生物 300122 紫金 矿业 股数 大幅度 增长 一季度 共有 523 重仓 智飞 生物 合计 持有 1.91 亿股 一季度 增持 6863 万股 持股 市值 264 重仓股 名列 17 紫金 矿业 一季度 419 重仓 持有 合计 持股数 19.4 亿股 一季度 增持 7.63 亿股 持仓 市值 220 排进 重仓股 30 东方红 启恒 三年 持有 去年末 持有 紫金 矿业 3717 万股 一季度 增至 10380 万股 大成 新锐 产业 去年 年末 持有 紫金 矿业 一季度 末则 持有 4758 万股 景顺 长城 景颐 双利 增持 一季度 持股 市值 TOP50 一季度 增仓 TOP50
517,国金 证券 买入 评级 意义 几何,国金 证券 04 25 发布 报称 600519 SH 最新 1708 买入 评级 评级 理由 包括 云商 有何 透过 何种 谋划 长期 护城河 深厚 品牌 渠道 多轮 驱动 风险 提示 宏观经济 下行 风险 疫情 持续 反复 风险 政策 风险 食品安全 风险 AI 点评 一个月 32 券商 研报 关注 买入 25 增持 强烈推荐 平均 目标价 2274.83 最新 1708 相比 566.82 目标 均价 涨幅 33.19%
519,大宗 交易 成交 409.92,25 大宗 交易平台 一笔 成交 成交量 0.24 万股 成交 金额 409.92 大宗 交易 成交价 1708.00 该笔 交易 买方 营业部 申万 宏源证券 有限公司 温州 车站 大道 证券 营业部 卖方 营业部 中信证券 股份 有限公司 上海 分公司 进一步 统计 累计 发生 71 大宗 交易 合计 成交 金额 10.32 证券时报 数据 统计 今日 收盘价 1708.00 下跌 3.67% 换手率 0.43% 93.53 全天 主力 资金 流出 9.42 日该 累计 下跌 4.62% 资金 合计 流出 15.03 两融 数据 该股 最新 融资 余额 202.97 减少 5.22 降幅 2.51% 北向 资金 动态 股通 最新 持有 该股 8385.50 万股 增加 94.46 万股 增幅 1.14% 数据 25 大宗 交易 一览
520,大宗 交易 成交 409.92 成交价 1708.00,25 发生 大宗 交易 总成交 2400 成交 金额 409.92 成交价 1708.00 当日 收盘 报价 1708.00 跌幅 3.67% 成交 金额 93.53 大宗 交易 成交 金额 当日 成交 金额 0.04% 成交价 收盘价 持平 大宗 交易 明细 25 瑞茂通 诚信 东兴 证券 亿纬锂 恒通 股份 发生 大宗 交易 具体情况 两市 大宗 交易 一览 04 25 当日 成交 金额 竞价 交易 成交 金额 包括 大宗 交易 成交 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
523,偷摸 加仓,顶流 两种 选择 公募 陆续 披露 季报 顶流 600519 SH 投资 动向 浮出 水面 之王 历来 公募 心头 四季度 坐上 公募 第一 重仓股 宝座 股价 持续 下跌 年末 2050 一路 下跌 一季度 1719 跌幅 16.15% 市值 蒸发 4000 大跌 明星 做出 选择 一季度 刘彦春 焦巍 胡昕炜 多位 顶流 程度 减持 依旧 重仓股 焦巍 季报 中称 死守 卖出 信条 明星 越跌 侯昊 张羽翔 一季度 加仓 侯昊 高端 高端 投资 性价比 配置 价值 顶流 纷纷 减持 公募 历来 青睐 数据 四季 共有 1378 重仓 持有 合计 持股 市值 高达 1219.55 超过 宁德 时代 1199.62 再成 公募 最爱 一季度 权益 市场 大幅 波动 股价 持续 下跌 28 一度 跌超 5% 险守 1600 关口 市值 一度 蒸发 5000 多名 顶流 扛不住 一季度 减持 包括 公募 一哥 副总经理 国内 首位 千亿 主动 权益 管理 持续 重仓 五粮液 戏称 世界 第三 大酒庄 称为 酒神 管理 规模 一季度 跌破 千亿 时代 周报 记者 梳理 发现 管理 三年 持有 亚洲 减持 四季度 相比 持有 320 万股 减持 315.30 万股 第三 重仓股 第一 重仓股 持股 市值 54.20 重回 第一 重仓股 持有 股数 46.2 万股 一季度 减持 0.8 万股 减持 一季度 持有 股票数 93.5 万股 减至 92.1 万股 第三 重仓股 一季度 基金净值 下跌 持有人 感到 焦虑 感受 焦虑 下跌 未来 下跌 担忧 提到 股票价格 天气 永远 变化 捉摸不定 难以 把握 价值 气候 始终 缓慢 规律 变化 短期 市场 面临 困难 长期 提供 吸引力 价格 热衷 喝酒 刘彦春 一季度 减持 景顺 长城 明星 管理 规模 曾一度 超过 千亿 消费 一哥 季报 刘彦春 管理 几只 程度 减持 景顺 长城 鼎益 持有 96.4 万股 去年底 减持 6.83 万股 景顺 长城 新兴 成长 持有 225.34 万股 去年底 减持 20.81 万股 景顺 长城 内需 持有 27.73 万股 去年底 减持 1.1 万股 第一 重仓股 一位 重仓 明星 胡昕炜 减持 管理 汇添富 消费 升级 一季度 减持 10 万股 持股 数量 33 万股 减至 23 万股 仍为 第一 重仓股 管理 汇添富 消费 行业 一季度 减持 万股 持股 106 减持 100 万股 第一 重仓股 管理 汇添富 价值 创造 减持 9.4 万股 52.01 减持 42.62 万股 知名 焦巍 管理 银华 富裕 主题 季报 一季度 减持 1.3 万股 持股 100.3 万股 减至 99 万股 第一 重仓股 焦巍 投资 消费 医药 两个 赛道 医药 长时间 水草 肥美 盛产 牛股 丰盛 之地 改变 丛林中 消费 投资 成长 投资 价值 投资 周期 投资 仿佛 动物 四肢 依赖 支撑 躯干 进攻 力度 灾难 状态 缺少 保护 意识 估值 边际 变化 组合 大部分 重要性 死守 卖出 信条 改之为 动态平衡 焦巍 两只 指数 加仓 有人 减持 有人 越跌 越加 侯昊 张羽翔 明星 选择 加仓 两人 管理 市场 上仅 两只 指数 侯昊 管理 招商 中证 市场 规模 称为 酒中仙 去年 第三季度 规模 一度 接近 千亿 第四季度 侯昊 减持 167 万股 一季度 增持 88.37 万股 一季度 持有 672.21 万股 重回 招商 中证 第一重 侯昊 报告期 中证 指数 下跌 22.98% 板块 海外 加息 板块 二月份 动销 表现 平稳 三月份 疫情 消费 场景 动销 后续 观察 动销 数据 变化 批价 变化 张羽翔 管理 华中 证酒 交易 开放式 指数 季报 增仓 15.1 万股 持有 57.79 万股 第一 重仓股 银华 明星 李晓星 一季度 加仓 管理 银华心 季报 一季度 加仓 50 万股 年底 5.88 万股 加仓 一季度 53 万股 李晓星 食品饮料 配置 上以 持仓 均衡 高端 高端 地产 龙头 配置 高端 业绩 弹性 内部 改善 估值 弹性 高端 景气 股价 调整 性价比 地产 短期 边际 改善 估值 下会 表现 核心 赛道 一季度 汇添富 旗下 李威 管理 汇添富 稳健 灵活 配置 混合型 增仓 2.12 万股 第一 重仓股 券商 调低 股价 海通 证券 广发 证券 给出 1900 多元 目标价 备受 关注 10 中信证券 发布 研报 目标 价格 下调 2246 去年 给出 3000 目标价 下调 25% 招商 证券 研报 中将 目标价 调至 2800 招商 证券 海内外 长线 资金 提升 估值 体系 重构 高端 兼具 成长性 确定性 估值 对标 海外 高端 消费 品牌 具备 提升 空间 相关 测算 现金流 成长性 生命周期 稳定性 内在 价值 下限 2171 估值 具备 边际 22 报收 1773 跌幅 0.39% 市值 2.23 万亿元
524,一季度 重仓股 揭秘 位列 持有 市值 第一,季报 披露 完毕 公募 一季度 整体 重仓股 情况 浮出 水面 记者 整体 重仓 十只 加仓 情况 持有 市值 位列 第一 持股 市值 超过 1612 宁德 时代 紧随其后 持有 数量 共有 1914 持有 宁德 时代 超过 持有 数量 茅宁 组合 持有 市值 3000 公募 重仓股 变化 关注 一大 焦点 数据 一季度 公募 持有 重仓股 市值 累计 3.23 万亿元 持股 市值 超过 千亿 一共 两只 宁德 时代 持股 市值 1612 1467 合计 超过 3000 排名 前十 重仓股 共有 持仓 市值 超过 500 值得一提的是 这前 十大 持仓 一季度 加仓 持股数 增加 从前 十大 持仓 行业 分布 新能源 医药 银行 领域 持仓 变动 情况 一季度 银行 电力 一季度 大加 看好 10 当季 加仓 值得 关注 数据 一季度 持仓 数量 增加 最多 20 一季度 20 电力 煤炭 能源行业 金融 地产 板块 包括 周期 概念 几个 板块 一季度 表现 不错 行业 公募 看好 方向 资金 敏感度 涌入 进一步 助推 符合 市场 增长 通胀 预期 摩根 李德 市场 典型 价值 风格 占优 市场 价值 景气 评估 重点 关注 两类 资产 一类 资源 包括 油气 煤炭 板块 另一类 困境 反转 地产 养殖 出行 板块 资源 近几年 利润 增长 商品价格 贡献 商品 销量 关注 全球 通胀 水平 变化 带来 相关 投资 风险 困境 反转 关注 核心 反转 估值 业绩 匹配 海富通 陶敏 指出 往后 增长 持续性 取决于 存量 经济 稳住 或者说 取决于 房地产 资产 负债表 现金流量 收缩 增长 政策 显效 之间 增长 政策 二季度 起效 增长 板块 持续 拉动 市场 链条 板块 受益 新能源 赛道 减持 加仓 季度 减持 数据 一季度 持仓 持股数 减少 20 一季度 分众传媒 减持 最为 包括 多位 明星 产品 大幅度 减持 银华 李晓星 管理 银华心佳 两年 持有期 去年底 持有 分众传媒 数量 高达 1.33 亿股 一季度 持有 数量 降至 7399.40 万股 广发基金 傅友兴 管理 广发 稳健 增长 去年底 持有 分众传媒 数量 高达 1.23 亿股 一季度 持有 数量 降至 8800 万股 华安 刘畅 管理 华安 文体 健康 去年底 持有 分众传媒 数量 2343.73 万股 一季度 该股 退出 十大 新能源 汽车行业 减持 吉利 汽车 长城汽车 江淮 汽车 一季度 包括 新能源 在内 赛道 调整 非常明显 值得注意 一轮 调整 之间 成长 赛道 板块 观点 依然 不太 陶敏 后续 短期内 赛道 焕发 生机 概率 偏低 原因 市场 内外部 两大 因素 在短期内 难以 发生 方向性 变化 两大 因素 作用 导致 估值 偏高 赛道 面临 压力 后续 观察 三季度 赛道 业绩 增速 预期 李德 成长型 行业 订单 商业 格局 竞争 格局 半导体 新能源 汽车 行业 未来 行业 盈利 稳住 估值 未来 市场 风格 切换 成长 标的 概率 优先 迎来 反弹
525,一季度 逆势 加仓 宁德 时代 重仓 四个 行业,市场 遭遇 大幅 调整 调仓换 刚刚 披露 季报 下跌 质地 行业 格局 风险 能力 宁德 时代 隆基 股份 药明 康德 龙头股 加仓 一季度 宁德 时代 1485 重仓 持有 持仓 市值 1103.7 公募 第一 重仓股 重仓 四个 行业 相投 数据 一季度 50 重仓股 分布 消费品 服务 信息技术 医药 原材料 四个 行业 消费品 服务行业 13 包括 板块 五粮液 泸州 老窖 山西汾酒 洋河 股份 家电 板块 美的 集团 海尔 智家 乳制品 龙头 伊利 股份 免税 龙头 中免 农业 板块 牧原 股份 海大 集团 新能源 汽车 领域 宁德 时代 比亚迪 重仓 信息技术 行业 13 包括 安防 龙头股 海康 威视 半导体 龙头股 紫光 国微 立讯 精密 北方 华创 韦尔 股份 三安 光电 圣邦 股份 医药 板块 调整 一季度 50 重仓股 医药行业 剩下 依旧 重仓 持有 包括 医疗器械 龙头 迈瑞 医疗 医疗 服务 领域 龙头 爱尔 眼科 CXO 医药 领域 药明 康德 泰格 医药 博腾 股份 凯莱 疫苗 龙头股 智飞 生物 原材料 领域 重仓 持有 包括 万华 化学 紫金 矿业 新能源 板块 阳光 电源 泰来 天合光 晶澳 科技 恩捷 股份 华友 钴业 50 重仓股 包括 宁波 银行 兴业银行 万科 保利 发展 传统 白马 蓝筹股 宁王 获加 重仓股 持仓 市值 一季度 宁德 时代 依然 第一 重仓股 紧随其后 差距 仅仅 数据 一季度 共有 1485 重仓 持有 宁德 时代 持有 市值 1103.7 这是 公募 第一 重仓股 1427 重仓 持有 持仓 市值 1095.6 636 持有 药明 康德 持仓 市值 582 671 持有 隆基 股份 持仓 市值 433.9 泸州 老窖 五粮液 迈瑞 医疗 持有 市值 超过 300 去年 年底 重仓股 数据 发现 宁德 时代 药明 康德 隆基 股份 龙头股 一季度 下跌 公募 减仓 程度 加仓 持有 市值 下降 持股 数量 增加 宁德 时代 为例 去年底 重仓 持股 总数 2.04 亿股 一季度 增至 2.15 亿股 去年底 重仓 持有 5949 万股 一季度 增至 6373 万股
526,04 22 日获 股通 增持 34.72 万股,04 22 股通 增持 34.72 万股 最新 持股 8385.5 万股 股本 6.68% 五日 持股 数据 持股 股价 变动 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
527,融资 偿还 2914.11 融资 余额 202.97,融资 融券 信息 22 融资 偿还 2914.11 融资 余额 202.97 较前 一日 下降 0.14% 融资 当日 融资 买入 3.22 融资 偿还 3.51 融资 偿还 2914.11 融券 融券 卖出 5400 融券 偿还 1.42 万股 融券 余量 32.21 万股 融券 余额 5.71 融资 融券 余额 合计 208.68 融资 融券 交易 明细 04 22 历史 融资 融券 数据 一览 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
528,04 21 股通 减持 10.46 万股,04 21 股通 减持 10.46 万股 最新 持股 8350.78 万股 股本 6.65% 五日 持股 数据 持股 股价 变动 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
529,融资 买入 3536.64 两市 排名第 20 04,融资 融券 信息 21 融资 买入 3536.64 融资 余额 203.26 较前 一日 增加 0.17% 融资 当日 融资 买入 3.62 融资 偿还 3.27 融资 买入 3536.64 买入 两市 排名第 20 融券 融券 卖出 7300 融券 偿还 1.3 万股 融券 余量 33.09 万股 融券 余额 5.89 融资 融券 余额 合计 209.15 融资 融券 交易 明细 04 21 历史 融资 融券 数据 一览 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
530,五粮液 舍得 头部 酒企 增产 扩能 业内人士 名酒,红星 资本 21 消息 600519 SH 五粮液 000858 SZ 今世 603369 SH 酒企 发布 扩产 技改 计划 舍得 酒业 600702 SH 发布公告 投资 70 多亿元 建设 增产 扩能 项目 项目 预计 投资 70.54 规划 用地 面积 1774.11 建设 工期 预计 建成 预计 新增 年产 原酒 万吨 新增 原酒 储能 34.25 万吨 新增 制曲 产能 万吨 项目 位于 四川省 遂宁市 射洪 沱牌 资金 自有 资金 银行 融资 方式 自筹 解决 舍得 酒业 项目 建成 经营 情况 平均 净利润 预计 13.17 税后 内部 收益率 23.30% 动态 投资 回收期 8.96 红星 资本 今年以来 多家 发布 扩产 技改 计划 投资 41.1 扩产 系列 产能 五粮液 斥资 27.5 两期 实施 制曲 车间 扩能 改造 今世 缘拟 投资 90.76 新增 产能 建设 对此 行业 分析师 学飞 红星 资本 分析 指出 产能 储能 优势 酒企 产品 结构 升级 提高 产品 溢价 能力 酒企 未来 高端化 竞争 提供 支撑 酒企 产区 话语权 品质 影响力 促进作用 学飞 坦承 行业 确实 面临 产能 过剩 情况 产能 过剩 中低端 名酒 产区 品类 代表 中低端 产酒 名酒 产能 依然 稀缺 未来 酒类 消费结构 升级 趋势 优势 产能 主导地位 产能 低端 产能 淘汰 中小型 酒企 淘汰 原因 舍得 酒业 21 公布 一季度 成绩 当期 营业 收入 18.84 同比增加 83.25% 归属于 上市公司 股东 净利润 5.31 同比增加 75.75% 归属于 上市公司 股东 扣除非 经常性 损益 净利润 5.17 同比增加 72.45% 总资产 87.42 同比增加 8.02% 舍得 酒业 发布公告 董事会 同意 聘任 罗超 副总裁 超出 生于 1980 历任 上海 复地 产业 发展 集团 有限公司 副总裁 上海 复豫 酒业 集团 有限公司 执行 总裁 现任 四川 沱牌 舍得 集团 有限公司 副董事长
531,大宗 交易 成交 213.6 成交价 1780.00,21 发生 大宗 交易 总成交 1200 成交 金额 213.6 成交价 1780.00 当日 收盘 报价 1779.98 跌幅 0.95% 成交 金额 51.61 大宗 交易 成交 金额 当日 成交 金额 0.04% 成交价 略高于 收盘价 大宗 交易 明细 21 国联 证券 得利 康欣新材 美凯龙 瑞茂通 发生 大宗 交易 具体情况 两市 大宗 交易 一览 04 21 当日 成交 金额 竞价 交易 成交 金额 包括 大宗 交易 成交 免责 声明 本文 数据 生产 仅供参考 投资 建议 操作 风险 自担
